PMID,Author,Title,Journal,Year,Abstract,DOI
39327675,"['Oguzhan, Aybeniz', 'Peskersoy, Cem', 'Devrimci, Elif Ercan', 'Kemaloglu, Hande', 'Onder, Tolga Kagan']",Implementation of machine learning models as a quantitative evaluation tool for preclinical studies in dental education.,Journal of dental education,2024 Sep 26,"PURPOSE AND OBJECTIVE: Objective, valid, and reliable evaluations are needed in order to develop haptic skills in dental education. The aim of this study is to investigate the validity and reliability of the machine learning method in evaluating the haptic skills of dentistry students. MATERIALS AND METHODS: One-hundred fifty 6th semester dental students have performed Class II amalgam (C2A) and composite resin restorations (C2CR), in which all stages were evaluated with Direct Observation Practical Skills forms. The final phase was graded by three trainers and supervisors separately. Standard photographs of the restorations in the final stage were taken from different angles in a special setup and transferred to the Python program which utilized the Structural Similarity algorithm to calculate both the quantitative (numerical) and qualitative (visual) differences of each restoration. The validity and reliability analyses of inter-examiner evaluation were tested by Cronbach's Alpha and Kappa statistics (p = 0.05). RESULTS: The intra-examiner reliability between Structural Similarity Index (SSIM) and examiners was found highly reliable in both C2A (α = 0.961) and C2CR (α = 0.856). The compatibility of final grades given by SSIM (53.07) and examiners (56.85) was statistically insignificant (p > 0.05). A significant difference was found between the examiners and SSIM when grading the occlusal surfaces in C2A and on the palatal surfaces of C2CR (p < 0.05). The concordance of observer assessments was found almost perfect in C2A (κ = 0.806), and acceptable in C2CR (κ = 0.769). CONCLUSION: Although deep machine learning is a promising tool in the evaluation of haptic skills, further improvement and alignments are required for fully objective and reliable validation in all cases of dental training in restorative dentistry.",https://doi.org/10.1002/jdd.13722
39326724,"['Çakmak, Gülce', 'Cho, Jun-Ho', 'Choi, Jinhyeok', 'Yoon, Hyung-In', 'Yilmaz, Burak', 'Schimmel, Martin']","Can deep learning-designed anterior tooth-borne crown fulfill morphologic, aesthetic, and functional criteria in clinical practice?",Journal of dentistry,2024 Sep 24,"OBJECTIVES: This study aimed to compare the design outcomes of anterior crowns generated using deep learning (DL)-based software with those fabricated by a technician using conventional dental computer-assisted design (CAD) software without DL support, with a focus on the evaluation of crown morphology, function, and aesthetics. METHODS: Twenty-five in vivo datasets comprising maxillary and mandibular arch scans of prepared maxillary central incisors were utilized to design anterior crowns by using three methods: 1) a DL-based method resulting in as-generated outcome (DB), 2) a DL-based method further optimized by a technician (DM), and 3) a conventional CAD-based method (NC, control). Evaluations were conducted for crown morphology (total discrepancy volume (TDV), root mean square (RMS), positive average (PA) and negative average (NA) deviations), functional aspects (incisal path: deviations, length, and mean inclination), and aesthetics (crown width, height, width-to-height ratio, angular radius of mesioincisal line angle, proximal contact length, and tooth axis angle). RESULTS: Significant differences in TDV ratio were noted between the DB-NC (32.3 ±8.5%) and DM-NC (26.5 ±5.4%) pairs (P = 0.006). No significant differences were observed in TDV between the DB-NC (65.3 ±24.4 mm(3)) and DM-NC (54.3 ±21.0 mm(3)) pairs (P = 0.095). For the entire palatal surface, significant differences in RMS and PA values were observed between the DB-NC and DM-NC pairs (P < 0.037). Significant differences in RMS values for the incisal half (P = 0.021) and in PA values for the cervical half (P = 0.047) of the palatal surface were also noted between these pairs. Significant differences in the deviation of the incisal path were observed between the DB-NC (290.4 ±212.4 μm) and DM-NC (132.0 ±122.3 μm) pairs (P<0.001). However, no significant differences were found among the groups (DB, DM, and NC) in terms of the length and mean inclination of incisal paths or in aesthetic outcomes. CONCLUSIONS: A DL-based method can result in promising outcomes with clinically acceptable morphology and aesthetics for anterior crowns. Minor deviations in incisal path of the crowns may lead to anterior guidance discrepancies, which can be corrected by the dental technician at the design stage. CLINICAL SIGNIFICANCE: With the potential of DL-based design methods in dental applications, integrating AI technology into dental CAD workflow can enhance the clinical efficiency and consistency of anterior crown design, although human intervention may be required to refine functional aspect.",https://doi.org/10.1016/j.jdent.2024.105368
39324972,"['Guler, Ridvan', 'Yalcin, Emine', 'Gulsun, Belgin']",Evaluation of Attitudes and Perceptions in Students About the Use of Artificial Intelligence in Craniomaxillofacial Surgery.,The Journal of craniofacial surgery,2024 Sep 26,"Developments in technology have created great changes in the field of medicine and dentistry. Artificial intelligence technology is one of the most important innovations that caused this change. This study aimed to evaluate the opinions of dentistry students regarding the use of artificial intelligence in dentistry and craniomaxillofacial surgery. Two hundred ninety-six dentistry students between the ages of 19 and 30 participated in the study. Participants submitted the survey by e-mail examining the student's opinions and attitudes regarding the use of artificial intelligence in dentistry and craniomaxillofacial surgery. Respondents' anonymity was ensured. 47.30% (n: 140) of the students participating in the study are fourth-year students, and 52.70% (n: 156) are fifth-year students. While 48.98% (n: 145) of the participants have knowledge about the uses of artificial intelligence in daily life, 28.37% (n: 84) of the students have knowledge about robotic surgery. While ~74% of the participants think that artificial intelligence will improve the field of dentistry and craniomaxillofacial surgery, it has been observed that they are not worried about these applications replacing dentists in the future. It was determined that there was no statistically significant difference between fourth-year and fifth-year students in their knowledge levels about the areas of use of artificial intelligence (P=0.548). Students' opinions show that 74% agree that artificial intelligence will lead to major advances in the field of dentistry and craniomaxillofacial surgery. This shows the relationship between dentists and artificial intelligence points to a bright future.",https://doi.org/10.1097/SCS.0000000000010687
39316174,"['Tomo, Saygo', 'Lechien, Jérôme R', 'Bueno, Hugo Sobrinho', 'Cantieri-Debortoli, Daniela Filié', 'Simonato, Luciana Estevam']",Accuracy and consistency of ChatGPT-3.5 and - 4 in providing differential diagnoses in oral and maxillofacial diseases: a comparative diagnostic performance analysis.,Clinical oral investigations,2024 Sep 24,"OBJECTIVE: To investigate the performance of ChatGPT in the differential diagnosis of oral and maxillofacial diseases. METHODS: Thirty-seven oral and maxillofacial lesions findings were presented to ChatGPT-3.5 and - 4, 18 dental surgeons trained in oral medicine/pathology (OMP), 23 general dental surgeons (DDS), and 16 dental students (DS) for differential diagnosis. Additionally, a group of 15 general dentists was asked to describe 11 cases to ChatGPT versions. The ChatGPT-3.5, -4, and human primary and alternative diagnoses were rated by 2 independent investigators with a 4 Likert-Scale. The consistency of ChatGPT-3.5 and - 4 was evaluated with regenerated inputs. RESULTS: Moderate consistency of outputs was observed for ChatGPT-3.5 and - 4 to provide primary (κ = 0.532 and κ = 0.533 respectively) and alternative (κ = 0.337 and κ = 0.367 respectively) hypotheses. The mean of correct diagnoses was 64.86% for ChatGPT-3.5, 80.18% for ChatGPT-4, 86.64% for OMP, 24.32% for DDS, and 16.67% for DS. The mean correct primary hypothesis rates were 45.95% for ChatGPT-3.5, 61.80% for ChatGPT-4, 82.28% for OMP, 22.72% for DDS, and 15.77% for DS. The mean correct diagnosis rate for ChatGPT-3.5 with standard descriptions was 64.86%, compared to 45.95% with participants' descriptions. For ChatGPT-4, the mean was 80.18% with standard descriptions and 61.80% with participant descriptions. CONCLUSION: ChatGPT-4 demonstrates an accuracy comparable to specialists to provide differential diagnosis for oral and maxillofacial diseases. Consistency of ChatGPT to provide diagnostic hypotheses for oral diseases cases is moderate, representing a weakness for clinical application. The quality of case documentation and descriptions impacts significantly on the performance of ChatGPT. CLINICAL RELEVANCE: General dentists, dental students and specialists in oral medicine and pathology may benefit from ChatGPT-4 as an auxiliary method to define differential diagnosis for oral and maxillofacial lesions, but its accuracy is dependent on precise case descriptions.",https://doi.org/10.1007/s00784-024-05939-1
39311453,"['Ducret, M', 'Wahal, E', 'Gruson, D', 'Amrani, S', 'Richert, R', 'Mouncif-Moungache, M', 'Schwendicke, F']",Trustworthy Artificial Intelligence in Dentistry: Learnings from the EU AI Act.,Journal of dental research,2024 Sep 23,"Artificial intelligence systems (AISs) gain relevance in dentistry, encompassing diagnostics, treatment planning, patient management, and therapy. However, questions about the generalizability, fairness, and transparency of these systems remain. Regulatory and governance bodies worldwide are aiming to address these questions using various frameworks. On March 13, 2024, members of the European Parliament approved the Artificial Intelligence Act (AIA), which emphasizes trustworthiness and human-centeredness as relevant aspects to regulate AISs beyond safety and efficacy. This review presents the AIA and similar regulatory and governance efforts in other jurisdictions and lays out that regulations such as the AIA are part of a complex ecosystem of interdependent and interwoven legal requirements and standards. Current efforts to regulate dental AISs require active input from the dental community, with participation of dental research, education, providers, and patients being relevant to shape the future of dental AISs.",https://doi.org/10.1177/00220345241271160
39311330,"['Turosz, Natalia', 'Chęcińska, Kamila', 'Chęciński, Maciej', 'Lubecka, Karolina', 'Bliźniak, Filip', 'Sikora, Maciej']",Artificial Intelligence (AI) Assessment of Pediatric Dental Panoramic Radiographs (DPRs): A Clinical Study.,Pediatric reports,2024 Sep 11,"This clinical study aimed to evaluate the sensitivity, specificity, accuracy, and precision of artificial intelligence (AI) in assessing permanent teeth in pediatric patients. Over one thousand consecutive DPRs taken in Kielce, Poland, with the Carestream CS9600 device were screened. In the study material, 35 dental panoramic radiographs (DPRs) of patients of developmental age were identified and included. They were automatically evaluated with an AI algorithm. The DPRs were then analyzed by researchers. The status of the following dichotomous variables was assessed: (1) decay, (2) missing tooth, (3) filled tooth, (4) root canal filling, and (5) endodontic lesion. The results showed high specificity and accuracy (all above 85%) in detecting caries, dental fillings, and missing teeth but low precision. This study provided a detailed assessment of AI performance in a previously neglected age group. In conclusion, the overall accuracy of AI algorithms for evaluating permanent dentition in dental panoramic radiographs is lower for pediatric patients than adults or the entire population. Hence, identifying primary teeth should be implemented in AI-driven software, at least so as to ignore them when assessing mixed dentition (ClinicalTrials.gov registration number: NCT06258798).",https://doi.org/10.3390/pediatric16030067
39311162,"['Gaudin, Robert', 'Otto, Wolfram', 'Ghanad, Iman', 'Kewenig, Stephan', 'Rendenbach, Carsten', 'Alevizakos, Vasilios', 'Grün, Pascal', 'Kofler, Florian', 'Heiland, Max', 'von See, Constantin']",Enhanced Osteoporosis Detection Using Artificial Intelligence: A Deep Learning Approach to Panoramic Radiographs with an Emphasis on the Mental Foramen.,"Medical sciences (Basel, Switzerland)",2024 Sep 20,"Osteoporosis, a skeletal disorder, is expected to affect 60% of women aged over 50 years. Dual-energy X-ray absorptiometry (DXA) scans, the current gold standard, are typically used post-fracture, highlighting the need for early detection tools. Panoramic radiographs (PRs), common in annual dental evaluations, have been explored for osteoporosis detection using deep learning, but methodological flaws have cast doubt on otherwise optimistic results. This study aims to develop a robust artificial intelligence (AI) application for accurate osteoporosis identification in PRs, contributing to early and reliable diagnostics. A total of 250 PRs from three groups (A: osteoporosis group, B: non-osteoporosis group matching A in age and gender, C: non-osteoporosis group differing from A in age and gender) were cropped to the mental foramen region. A pretrained convolutional neural network (CNN) classifier was used for training, testing, and validation with a random split of the dataset into subsets (A vs. B, A vs. C). Detection accuracy and area under the curve (AUC) were calculated. The method achieved an F1 score of 0.74 and an AUC of 0.8401 (A vs. B). For young patients (A vs. C), it performed with 98% accuracy and an AUC of 0.9812. This study presents a proof-of-concept algorithm, demonstrating the potential of deep learning to identify osteoporosis in dental radiographs. It also highlights the importance of methodological rigor, as not all optimistic results are credible.",https://doi.org/10.3390/medsci12030049
39306752,"['Santos, José Wittor de Macêdo', 'Mueller, Andreas Albert', 'Benitez, Benito K', 'Lill, Yoriko', 'Nalabothu, Prasad', 'Muniz, Francisco Wilker Mustafa Gomes']",Smartphone-based scans of palate models of newborns with cleft lip and palate: Outlooks for three-dimensional image capturing and machine learning plate tool.,Orthodontics & craniofacial research,2024 Sep 22,"OBJECTIVES: To evaluate the performance of smartphone scanning applications (apps) in acquiring 3D meshes of cleft palate models. Secondarily, to validate a machine learning (ML) tool for computing automated presurgical plate (PSP). MATERIALS AND METHODS: We conducted a comparative analysis of two apps on 15 cleft palate models: five unilateral cleft lip and palate (UCLP), five bilateral cleft lip and palate (BCLP) and five isolated cleft palate (ICP). The scans were performed with and without a mirror to simulate intraoral acquisition. The 3D reconstructions were compared to control reconstructions acquired using a professional intraoral scanner using open-source software. RESULTS: Thirty 3D scans were acquired by each app, totalling 60 scans. The main findings were in the UCLP sample, where the KIRI scans without a mirror (0.22 ± 0.03 mm) had a good performance with a deviation from the ground truth comparable to the control group (0.14 ± 0.13 mm) (p = .653). Scaniverse scans with a mirror showed the lowest accuracy of all the samples. The ML tool was able to predict the landmarks and automatically generate the plates, except in ICP models. KIRI scans' plates showed better performance with (0.22 ± 0.06 mm) and without mirror (0.18 ± 0.05 mm), being comparable with controls (0.16 ± 0.08 mm) (p = .954 and p = .439, respectively). CONCLUSIONS: KIRI Engine performed better in scanning UCLP models without a mirror. The ML tool showed a high capability for morphology recognition and automated PSP generation.",https://doi.org/10.1111/ocr.12859
39302479,"['Chen, Xu', 'Shen, Yiran', 'Jeong, Jin-Sun', 'Perinpanayagam, Hiran', 'Kum, Kee-Yeon', 'Gu, Yu']",DeepPlaq: Dental plaque indexing based on deep neural networks.,Clinical oral investigations,2024 Sep 20,"OBJECTIVES: The selection of treatment for dental plaque is closely related to the condition of the plaque on different teeth. This study validated the ability of CNN models in assessing the dental plaque indices. MATERIALS AND METHODS: In 70 (20 male and 50 female) healthy adults (18 to 55 years old), frontal and lateral view intraoral images (210) of plaque disclosing agent stained permanent and deciduous dentitions were obtained. A three-stage method was employed, where the You Look Only Once version 8 (YOLOv8) model was first used to detect the target teeth, followed by the prompt-based Segment Anything Model (SAM) segmentation algorithm to segment teeth. A new single-tooth dataset consisting of 1400 photographs was obtained after applying a two-stage method. Finally, a multi-class classification model DeepPlaq was trained and evaluated on the accuracy of dental plaque indexing based on the Quigley-Hein Index (QHI) scoring system. Classification performance was measured using accuracy, recall, precision, and F1-score. RESULTS: The teeth detector exhibited an accuracy (mean average precision, mAP) of approximately 0.941 ± 0.005 in identifying teeth with plaque disclosing agents. The maximum accuracy attained in the plaque indexing through DeepPlaq was 0.84 (probability that DeepPlaq scored identical to experts), and the smallest average scoring error was less than 0.25 on a 0 to 5 scale for scoring. CONCLUSIONS: A three-stage approach demonstrated excellent performance in detecting and segmenting target teeth, and DeepPlaq model also showed strong performance in assessing dental plaque indices. CLINICAL RELEVANCE: Application of artificial intelligence to the evaluation of dental plaque distribution could enhance diagnostic accuracy and treatment efficiency and accuracy.",https://doi.org/10.1007/s00784-024-05921-x
39294554,"['Bizjak, Žiga', 'Robič, Tina']",DentAge: Deep learning for automated age prediction using panoramic dental X-ray images.,Journal of forensic sciences,2024 Sep 18,"Age estimation plays a crucial role in various fields, including forensic science and anthropology. This study aims to develop and validate DentAge, a deep-learning model for automated age prediction using panoramic dental X-ray images. DentAge was trained on a dataset comprising 21,007 panoramic dental X-ray images sourced from a private dental center in Slovenia. The dataset included subjects aged 4 to 97 years with various dental conditions. Transfer learning was employed, initializing the model with ImageNet weights and fine-tuning on the dental image dataset. The model was trained using stochastic gradient descent with momentum, and mean absolute error (MAE) served as the objective function. Across the test dataset, DentAge achieved an MAE of 3.12 years, demonstrating its efficacy in age prediction. Notably, the model performed well across different age groups, with MAEs ranging from 1.94 (age group [10-20]) to 13.40 years (age group [90-100]). Visual evaluation revealed factors contributing to prediction errors, including prosthetic restorations, tooth loss, and bone resorption. DentAge represents a significant advancement in automated age prediction within dentistry. The model's robust performance across diverse age groups and dental conditions underscores its potential utility in real-world scenarios. Our model will be accessible to the public for further adjustments and validation, ensuring DentAge's effectiveness and trustworthiness in practical scenarios.",https://doi.org/10.1111/1556-4029.15629
